script_id,branch_type,condition_text,target_script_id,option_label,option_icon,sort_order
START_001,CUSTOMER_TYPE,顧客区分,ID_001,個人のお客様,👤,1
START_001,CUSTOMER_TYPE,顧客区分,BUSINESS_001,法人のお客様,🏢,2
START_001,URGENCY,緊急度,EMERGENCY_001,緊急事態,🚨,3
ID_001,YES_NO,本人確認結果,ID_002,確認できた,✓,1
ID_001,YES_NO,本人確認結果,ERROR_001,確認できない,✗,2
ID_002,YES_NO,追加確認結果,REQ_001,確認完了,✓,1
ID_002,YES_NO,追加確認結果,ID_003,さらに確認,🔐,2
ID_003,YES_NO,暗証番号確認,REQ_001,確認完了,✓,1
ID_003,YES_NO,暗証番号確認,ERROR_002,確認失敗,✗,2
REQ_001,MULTIPLE_CHOICE,業務カテゴリ,ACCOUNT_001,口座・預金,🏦,1
REQ_001,MULTIPLE_CHOICE,業務カテゴリ,LOAN_001,融資・ローン,🏠,2
REQ_001,MULTIPLE_CHOICE,業務カテゴリ,INVESTMENT_001,投資・運用,📈,3
REQ_001,MULTIPLE_CHOICE,業務カテゴリ,CARD_001,カード関連,💳,4
REQ_001,MULTIPLE_CHOICE,業務カテゴリ,TRANSACTION_001,振込・送金,💸,5
REQ_001,MULTIPLE_CHOICE,業務カテゴリ,INQUIRY_001,照会・確認,💰,6
REQ_001,MULTIPLE_CHOICE,業務カテゴリ,CHANGE_001,変更手続き,🔄,7
REQ_001,MULTIPLE_CHOICE,業務カテゴリ,INSURANCE_001,保険商品,🛡️,8
ACCOUNT_001,MULTIPLE_CHOICE,預金商品,ACCOUNT_004,普通預金,💳,1
ACCOUNT_001,MULTIPLE_CHOICE,預金商品,ACCOUNT_002,定期預金,💰,2
ACCOUNT_001,MULTIPLE_CHOICE,預金商品,ACCOUNT_003,口座開設,📋,3
ACCOUNT_001,MULTIPLE_CHOICE,預金商品,DIGITAL_001,ネットバンキング,💻,4
ACCOUNT_002,AMOUNT_RANGE,預入金額,ACCOUNT_005,100万円未満,💵,1
ACCOUNT_002,AMOUNT_RANGE,預入金額,ACCOUNT_005,100万円以上,💰,2
ACCOUNT_002,AMOUNT_RANGE,預入金額,ESC_002,1000万円以上,💎,3
LOAN_001,MULTIPLE_CHOICE,融資種別,LOAN_002,住宅ローン,🏘️,1
LOAN_001,MULTIPLE_CHOICE,融資種別,LOAN_003,カードローン,💳,2
LOAN_001,MULTIPLE_CHOICE,融資種別,LOAN_005,事業融資,🏢,3
LOAN_001,MULTIPLE_CHOICE,融資種別,LOAN_004,その他融資,❓,4
LOAN_002,MULTIPLE_CHOICE,住宅ローン詳細,LOAN_006,新規申込,📝,1
LOAN_002,MULTIPLE_CHOICE,住宅ローン詳細,CHANGE_001,条件変更,🔄,2
LOAN_002,MULTIPLE_CHOICE,住宅ローン詳細,FAQ_001,金利照会,💹,3
LOAN_003,AMOUNT_RANGE,希望借入額,LOAN_007,100万円未満,💵,1
LOAN_003,AMOUNT_RANGE,希望借入額,LOAN_007,100万円以上,💰,2
LOAN_003,AMOUNT_RANGE,希望借入額,ESC_002,500万円以上,💎,3
LOAN_004,AMOUNT_RANGE,融資希望額,LOAN_004,1000万円未満,💵,1
LOAN_004,AMOUNT_RANGE,融資希望額,ESC_002,1000万円以上,💰,2
LOAN_004,AMOUNT_RANGE,融資希望額,ESC_002,1億円以上,💎,3
INVESTMENT_001,MULTIPLE_CHOICE,投資商品,INVESTMENT_002,投資信託,📊,1
INVESTMENT_001,MULTIPLE_CHOICE,投資商品,INVESTMENT_004,外貨預金,💱,2
INVESTMENT_001,MULTIPLE_CHOICE,投資商品,INSURANCE_001,保険商品,🛡️,3
INVESTMENT_001,MULTIPLE_CHOICE,投資商品,FAQ_001,金利・手数料,💰,4
INVESTMENT_002,RISK_LEVEL,リスク許容度,INVESTMENT_002,安定運用,🔵,1
INVESTMENT_002,RISK_LEVEL,リスク許容度,INVESTMENT_002,バランス運用,🟡,2
INVESTMENT_002,RISK_LEVEL,リスク許容度,INVESTMENT_003,積極運用,🔴,3
INVESTMENT_003,YES_NO,リスク説明理解,INVESTMENT_002,理解した,✓,1
INVESTMENT_003,YES_NO,リスク説明理解,ESC_002,詳しく聞きたい,❓,2
INVESTMENT_004,CURRENCY_TYPE,外貨種別,INVESTMENT_004,米ドル,🇺🇸,1
INVESTMENT_004,CURRENCY_TYPE,外貨種別,INVESTMENT_004,ユーロ,🇪🇺,2
INVESTMENT_004,CURRENCY_TYPE,外貨種別,INVESTMENT_004,豪ドル,🇦🇺,3
INVESTMENT_004,CURRENCY_TYPE,外貨種別,INVESTMENT_004,その他通貨,🌏,4
CARD_001,MULTIPLE_CHOICE,カード種別,CARD_003,クレジットカード,💎,1
CARD_001,MULTIPLE_CHOICE,カード種別,CARD_001,デビットカード,💳,2
